2026-03-27 22:20:33 | INFO    | Trial 12 | Starting | Params: {'alpha': 0.024691467257955874, 'gamma': 0.9867150608763862, 'epsilon': 1.0, 'epsilon_decay': 0.9983326797764556, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:20:33 | INFO    | Trial 11 | Starting | Params: {'alpha': 0.058686967257248306, 'gamma': 0.8311353468706801, 'epsilon': 1.0, 'epsilon_decay': 0.9903010102212306, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:20:35 | INFO    | Trial 13 | Starting | Params: {'alpha': 0.258460231453424, 'gamma': 0.8295122201238805, 'epsilon': 1.0, 'epsilon_decay': 0.9993013096613729, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:20:35 | INFO    | Trial 9 | Starting | Params: {'alpha': 0.19402877821653075, 'gamma': 0.8808510176758664, 'epsilon': 1.0, 'epsilon_decay': 0.9921931817250011, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:20:35 | INFO    | Trial 15 | Starting | Params: {'alpha': 0.11514601662471571, 'gamma': 0.8801221531627884, 'epsilon': 1.0, 'epsilon_decay': 0.9911169930291757, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:20:36 | INFO    | Trial 10 | Starting | Params: {'alpha': 0.2921185666223233, 'gamma': 0.9363293867863681, 'epsilon': 1.0, 'epsilon_decay': 0.9961958530199139, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:20:37 | INFO    | Trial 14 | Starting | Params: {'alpha': 0.18775196283590861, 'gamma': 0.9890339915271659, 'epsilon': 1.0, 'epsilon_decay': 0.9928395340250237, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:20:38 | INFO    | Trial 8 | Starting | Params: {'alpha': 0.010234966430504424, 'gamma': 0.9354556552575357, 'epsilon': 1.0, 'epsilon_decay': 0.9983806104591261, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:27:51 | ERROR   | Trial 15 | Failed | Error: name 'np' is not defined
2026-03-27 22:29:12 | INFO    | Trial 0 | Starting | Params: {'alpha': 0.01590564232645132, 'gamma': 0.9335009691725683, 'epsilon': 1.0, 'epsilon_decay': 0.9921567008282253, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:30:50 | INFO    | Trial 0 | Finished | Score: -444.98
2026-03-27 22:30:50 | INFO    | Trial 1 | Starting | Params: {'alpha': 0.27622692552658146, 'gamma': 0.9760170324641728, 'epsilon': 1.0, 'epsilon_decay': 0.9954477877507456, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:24 | INFO    | Trial 2 | Starting | Params: {'alpha': 0.10204849776022998, 'gamma': 0.838870466128711, 'epsilon': 1.0, 'epsilon_decay': 0.9947569107698367, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:51 | INFO    | Trial 1 | Starting | Params: {'alpha': 0.05893975948651626, 'gamma': 0.9662701089776623, 'epsilon': 1.0, 'epsilon_decay': 0.9972376874794668, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:52 | INFO    | Trial 4 | Starting | Params: {'alpha': 0.0978473467696511, 'gamma': 0.873040601838798, 'epsilon': 1.0, 'epsilon_decay': 0.9991841301497115, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:52 | INFO    | Trial 2 | Starting | Params: {'alpha': 0.0905048330413397, 'gamma': 0.909343711226794, 'epsilon': 1.0, 'epsilon_decay': 0.9944342566971947, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:53 | INFO    | Trial 3 | Starting | Params: {'alpha': 0.14182184250979196, 'gamma': 0.8468384914149991, 'epsilon': 1.0, 'epsilon_decay': 0.9991723113848282, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:55 | INFO    | Trial 0 | Starting | Params: {'alpha': 0.13391421022395758, 'gamma': 0.9570815433121932, 'epsilon': 1.0, 'epsilon_decay': 0.9977711459430723, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:55 | INFO    | Trial 7 | Starting | Params: {'alpha': 0.015809818972727326, 'gamma': 0.9526399646275758, 'epsilon': 1.0, 'epsilon_decay': 0.9995766430356765, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:56 | INFO    | Trial 5 | Starting | Params: {'alpha': 0.03739957980259997, 'gamma': 0.927109982816873, 'epsilon': 1.0, 'epsilon_decay': 0.9961058687037173, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:35:57 | INFO    | Trial 6 | Starting | Params: {'alpha': 0.11086733025810101, 'gamma': 0.8179269427253917, 'epsilon': 1.0, 'epsilon_decay': 0.9962030427336551, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:38:17 | INFO    | Trial 1 | Finished | Score: -424.64
2026-03-27 22:38:19 | INFO    | Trial 2 | Finished | Score: -314.72
2026-03-27 22:38:30 | INFO    | Trial 5 | Finished | Score: -410.72
2026-03-27 22:38:41 | INFO    | Trial 0 | Finished | Score: -433.72
2026-03-27 22:38:42 | INFO    | Trial 6 | Finished | Score: -391.60
2026-03-27 22:38:49 | INFO    | Trial 8 | Starting | Params: {'alpha': 0.17298224785845118, 'gamma': 0.8572247561200893, 'epsilon': 1.0, 'epsilon_decay': 0.9933013328290154, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:38:51 | INFO    | Trial 9 | Starting | Params: {'alpha': 0.3817501446180176, 'gamma': 0.8554917957235638, 'epsilon': 1.0, 'epsilon_decay': 0.9924549140323287, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:38:58 | INFO    | Trial 3 | Finished | Score: -451.00
2026-03-27 22:39:03 | INFO    | Trial 4 | Finished | Score: -441.52
2026-03-27 22:39:07 | INFO    | Trial 7 | Finished | Score: -445.86
2026-03-27 22:39:13 | INFO    | Trial 10 | Starting | Params: {'alpha': 0.10376857467019558, 'gamma': 0.9959676638152097, 'epsilon': 1.0, 'epsilon_decay': 0.9981858146629888, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:39:14 | INFO    | Trial 11 | Starting | Params: {'alpha': 0.043627666653657055, 'gamma': 0.9661086090712491, 'epsilon': 1.0, 'epsilon_decay': 0.9961593445935683, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:39:16 | INFO    | Trial 12 | Starting | Params: {'alpha': 0.03263541566737477, 'gamma': 0.8233944227162744, 'epsilon': 1.0, 'epsilon_decay': 0.9915487320238154, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:39:58 | INFO    | Trial 14 | Starting | Params: {'alpha': 0.38834388791160535, 'gamma': 0.9234316684795928, 'epsilon': 1.0, 'epsilon_decay': 0.9929592209478448, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:39:59 | INFO    | Trial 13 | Starting | Params: {'alpha': 0.22356881483848776, 'gamma': 0.9126879123781528, 'epsilon': 1.0, 'epsilon_decay': 0.9914054220540043, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:40:00 | INFO    | Trial 15 | Starting | Params: {'alpha': 0.04164860538320076, 'gamma': 0.9720591053061893, 'epsilon': 1.0, 'epsilon_decay': 0.9963880419356346, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:40:20 | INFO    | Trial 8 | Finished | Score: -343.74
2026-03-27 22:40:24 | INFO    | Trial 9 | Finished | Score: -405.00
2026-03-27 22:40:53 | INFO    | Trial 16 | Starting | Params: {'alpha': 0.024973577679640237, 'gamma': 0.998267284144043, 'epsilon': 1.0, 'epsilon_decay': 0.9901719975036817, 'epsilon_min': 0.01, 'n_episodes': 400}
